#    distance            Ux
  1.54198e-18  -1.13744e-18
     0.015873    -0.0116233
     0.031746    -0.0225044
     0.047619    -0.0327689
    0.0634921    -0.0425225
    0.0793651    -0.0518575
    0.0952381    -0.0608557
     0.111111    -0.0695887
     0.126984    -0.0781018
     0.142857    -0.0864734
      0.15873    -0.0947452
     0.174603      -0.10295
     0.190476      -0.11111
     0.206349     -0.119241
     0.222222     -0.127347
     0.238095     -0.135414
     0.253968     -0.143428
     0.269841     -0.151355
     0.285714     -0.159153
     0.301587     -0.166769
      0.31746     -0.174135
     0.333333     -0.181176
     0.349206     -0.187748
     0.365079      -0.19379
     0.380952     -0.199196
     0.396825     -0.203856
     0.412698     -0.207656
     0.428571     -0.210481
     0.444444     -0.212221
     0.460317     -0.212625
      0.47619     -0.211723
     0.492063     -0.209434
     0.507937      -0.20569
      0.52381     -0.200442
     0.539683     -0.193662
     0.555556     -0.185337
     0.571429     -0.175311
     0.587302      -0.16379
     0.603175     -0.150821
     0.619048     -0.136469
     0.634921     -0.120804
     0.650794     -0.103903
     0.666667    -0.0858389
      0.68254    -0.0665561
     0.698413    -0.0462193
     0.714286    -0.0248325
     0.730159   -0.00235408
     0.746032     0.0213174
     0.761905     0.0463596
     0.777778     0.0730444
     0.793651       0.10204
     0.809524      0.133711
     0.825397      0.168761
      0.84127      0.208041
     0.857143      0.252537
     0.873016      0.303326
     0.888889      0.361505
     0.904762      0.429089
     0.920635      0.505859
     0.936508      0.591909
     0.952381       0.68656
     0.968254      0.788156
     0.984127      0.893928
            1             1
