#    distance            Uy
  2.77556e-19             0
    0.0010101     0.0154281
    0.0020202     0.0308561
    0.0030303     0.0462842
    0.0040404     0.0617122
   0.00505051     0.0769231
   0.00606061     0.0880067
   0.00707071     0.0990904
   0.00808081      0.110174
   0.00909091      0.121258
     0.010101      0.131892
    0.0111111      0.138479
    0.0121212      0.145067
    0.0131313      0.151654
    0.0141414      0.158242
    0.0151515      0.164216
    0.0161616      0.166717
    0.0171717      0.169218
    0.0181818      0.171719
    0.0191919       0.17422
     0.020202      0.176037
    0.0212121      0.175122
    0.0222222      0.174207
    0.0232323      0.173291
    0.0242424      0.172376
    0.0252525      0.170785
    0.0262626      0.167169
    0.0272727      0.163553
    0.0282828      0.159936
    0.0292929       0.15632
     0.030303       0.15209
    0.0313131      0.146431
    0.0323232      0.140772
    0.0333333      0.135112
    0.0343434      0.129453
    0.0353535      0.123275
    0.0363636      0.116136
    0.0373737      0.108996
    0.0383838      0.101856
    0.0393939     0.0947167
     0.040404     0.0871733
    0.0414141     0.0790242
    0.0424242     0.0708751
    0.0434343      0.062726
    0.0444444     0.0545768
    0.0454545     0.0461569
    0.0464646      0.037406
    0.0474747     0.0286551
    0.0484848     0.0199042
    0.0494949     0.0111533
    0.0505051    0.00229597
    0.0515152   -0.00666783
    0.0525253    -0.0156316
    0.0535354    -0.0245954
    0.0545455    -0.0335592
    0.0555556    -0.0424086
    0.0565657    -0.0511644
    0.0575758    -0.0599202
    0.0585859     -0.068676
     0.059596    -0.0774318
    0.0606061    -0.0857603
    0.0616162    -0.0938041
    0.0626263     -0.101848
    0.0636364     -0.109892
    0.0646465     -0.117935
    0.0656566     -0.125107
    0.0666667      -0.13181
    0.0676768     -0.138512
    0.0686869     -0.145214
     0.069697     -0.151917
    0.0707071     -0.157139
    0.0717172     -0.161727
    0.0727273     -0.166315
    0.0737374     -0.170904
    0.0747475     -0.175492
    0.0757576     -0.177828
    0.0767677     -0.179413
    0.0777778     -0.180998
    0.0787879     -0.182583
     0.079798     -0.184168
    0.0808081     -0.182627
    0.0818182     -0.180303
    0.0828283     -0.177979
    0.0838384     -0.175656
    0.0848485     -0.173332
    0.0858586     -0.167064
    0.0868687     -0.160099
    0.0878788     -0.153135
    0.0888889      -0.14617
     0.089899     -0.139206
    0.0909091     -0.127848
    0.0919192     -0.116002
    0.0929293     -0.104156
    0.0939394    -0.0923101
    0.0949495    -0.0804642
    0.0959596     -0.064543
    0.0969697    -0.0484072
    0.0979798    -0.0322715
    0.0989899    -0.0161357
          0.1             0
