#    distance            Ux
  1.38778e-17             0
     0.015873   -0.00919652
     0.031746     -0.018393
     0.047619    -0.0275895
    0.0634921    -0.0354301
    0.0793651    -0.0430315
    0.0952381    -0.0506328
     0.111111     -0.057691
     0.126984    -0.0645166
     0.142857    -0.0713421
      0.15873    -0.0780239
     0.174603    -0.0845881
     0.190476    -0.0911522
     0.206349    -0.0977196
     0.222222     -0.104292
     0.238095     -0.110864
     0.253968     -0.117442
     0.269841     -0.124039
     0.285714     -0.130636
     0.301587     -0.137207
      0.31746     -0.143551
     0.333333     -0.149894
     0.349206     -0.156238
     0.365079     -0.161777
     0.380952     -0.167273
     0.396825      -0.17277
     0.412698     -0.176886
     0.428571     -0.180656
     0.444444     -0.184426
     0.460317     -0.186395
      0.47619     -0.187394
     0.492063     -0.188393
     0.507937     -0.187506
      0.52381     -0.184735
     0.539683     -0.181963
     0.555556     -0.177629
     0.571429     -0.170392
     0.587302     -0.163154
     0.603175      -0.15498
     0.619048     -0.143057
     0.634921     -0.131134
     0.650794     -0.118983
     0.666667     -0.102521
      0.68254    -0.0860596
     0.698413    -0.0695978
     0.714286    -0.0489768
     0.730159    -0.0278938
     0.746032   -0.00681074
     0.761905     0.0189082
     0.777778     0.0461725
     0.793651     0.0734368
     0.809524       0.10724
     0.825397      0.145403
      0.84127      0.183566
     0.857143      0.230496
     0.873016      0.288143
     0.888889       0.34579
     0.904762      0.411857
     0.920635      0.497572
     0.936508      0.583288
     0.952381       0.67252
     0.968254       0.78168
     0.984127       0.89084
            1             1
