#    distance            Uy
            0   2.76035e-18
     0.015873     0.0280814
     0.031746     0.0531852
     0.047619     0.0754329
    0.0634921     0.0949702
    0.0793651      0.111961
    0.0952381      0.126582
     0.111111      0.139013
     0.126984       0.14923
     0.142857      0.157647
      0.15873      0.164424
     0.174603      0.169711
     0.190476      0.173645
     0.206349      0.176342
     0.222222      0.177905
     0.238095      0.178313
     0.253968      0.177753
     0.269841      0.176278
     0.285714      0.173925
     0.301587      0.170722
      0.31746      0.166684
     0.333333      0.161819
     0.349206      0.156034
     0.365079      0.149416
     0.380952      0.141953
     0.396825      0.133632
     0.412698       0.12444
     0.428571      0.114363
     0.444444      0.103388
     0.460317      0.091403
      0.47619     0.0785039
     0.492063     0.0646913
     0.507937     0.0499736
      0.52381     0.0343682
     0.539683     0.0179034
     0.555556   0.000620566
     0.571429    -0.0174997
     0.587302     -0.036287
     0.603175    -0.0556391
     0.619048    -0.0754286
     0.634921    -0.0955002
     0.650794     -0.115667
     0.666667     -0.135708
      0.68254     -0.155291
     0.698413     -0.174128
     0.714286     -0.191878
     0.730159     -0.208162
     0.746032     -0.222576
     0.761905     -0.234694
     0.777778     -0.244085
     0.793651     -0.249934
     0.809524     -0.252176
     0.825397     -0.250498
      0.84127     -0.244673
     0.857143     -0.234584
     0.873016     -0.220249
     0.888889     -0.201829
     0.904762     -0.179261
     0.920635     -0.153484
     0.936508     -0.125102
     0.952381    -0.0948095
     0.968254    -0.0633502
     0.984127    -0.0314897
            1             0
