#    distance            Uy
            0    2.7637e-18
     0.015873     0.0281156
     0.031746     0.0532496
     0.047619     0.0755236
    0.0634921     0.0950837
    0.0793651      0.112094
    0.0952381      0.126731
     0.111111      0.139174
     0.126984      0.149401
     0.142857      0.157824
      0.15873      0.164606
     0.174603      0.169896
     0.190476      0.173829
     0.206349      0.176525
     0.222222      0.178085
     0.238095      0.178488
     0.253968      0.177922
     0.269841      0.176439
     0.285714      0.174078
     0.301587      0.170865
      0.31746      0.166816
     0.333333       0.16194
     0.349206      0.156143
     0.365079      0.149512
     0.380952      0.142036
     0.396825      0.133701
     0.412698      0.124496
     0.428571      0.114405
     0.444444      0.103415
     0.460317     0.0914165
      0.47619     0.0785035
     0.492063     0.0646774
     0.507937     0.0499465
      0.52381     0.0343282
     0.539683      0.017851
     0.555556   0.000556284
     0.571429    -0.0175753
     0.587302    -0.0363735
     0.603175    -0.0557359
     0.619048    -0.0755353
     0.634921    -0.0956161
     0.650794     -0.115792
     0.666667     -0.135841
      0.68254     -0.155431
     0.698413     -0.174276
     0.714286     -0.192032
     0.730159     -0.208322
     0.746032     -0.222741
     0.761905     -0.234863
     0.777778     -0.244256
     0.793651     -0.250105
     0.809524     -0.252347
     0.825397     -0.250665
      0.84127     -0.244834
     0.857143     -0.234738
     0.873016     -0.220393
     0.888889      -0.20196
     0.904762     -0.179378
     0.920635     -0.153584
     0.936508     -0.125183
     0.952381     -0.094871
     0.968254    -0.0633913
     0.984127    -0.0315102
            1             0
