#    distance            Uy
            0   2.75786e-18
     0.015873     0.0280563
     0.031746      0.053139
     0.047619     0.0753691
    0.0634921      0.094892
    0.0793651      0.111872
    0.0952381      0.126483
     0.111111      0.138907
     0.126984       0.14912
     0.142857      0.157533
      0.15873      0.164308
     0.174603      0.169596
     0.190476      0.173529
     0.206349      0.176228
     0.222222      0.177795
     0.238095      0.178205
     0.253968       0.17765
     0.269841       0.17618
     0.285714      0.173833
     0.301587      0.170636
      0.31746      0.166604
     0.333333      0.161746
     0.349206      0.155969
     0.365079      0.149358
     0.380952      0.141903
     0.396825       0.13359
     0.412698      0.124406
     0.428571      0.114337
     0.444444       0.10337
     0.460317     0.0913937
      0.47619     0.0785026
     0.492063      0.064698
     0.507937     0.0499881
      0.52381     0.0343902
     0.539683     0.0179328
     0.555556   0.000657067
     0.571429    -0.0174563
     0.587302     -0.036237
     0.603175    -0.0555828
     0.619048    -0.0753662
     0.634921    -0.0954319
     0.650794     -0.115593
     0.666667     -0.135629
      0.68254     -0.155206
     0.698413     -0.174039
     0.714286     -0.191784
     0.730159     -0.208064
     0.746032     -0.222475
     0.761905      -0.23459
     0.777778     -0.243978
     0.793651     -0.249826
     0.809524     -0.252068
     0.825397      -0.25039
      0.84127     -0.244567
     0.857143     -0.234482
     0.873016     -0.220152
     0.888889     -0.201738
     0.904762      -0.17918
     0.920635     -0.153413
     0.936508     -0.125043
     0.952381    -0.0947628
     0.968254    -0.0633178
     0.984127    -0.0314728
            1             0
