#    distance            Ux
  1.54198e-18  -1.11416e-18
     0.015873    -0.0113843
     0.031746    -0.0220319
     0.047619    -0.0320683
    0.0634921    -0.0415999
    0.0793651    -0.0507192
    0.0952381    -0.0595087
     0.111111    -0.0680404
     0.126984    -0.0763615
     0.142857    -0.0845506
      0.15873    -0.0926503
     0.174603     -0.100694
     0.190476     -0.108708
     0.206349     -0.116705
     0.222222     -0.124693
     0.238095     -0.132664
     0.253968     -0.140599
     0.269841     -0.148471
     0.285714     -0.156237
     0.301587     -0.163846
      0.31746     -0.171233
     0.333333     -0.178324
     0.349206     -0.184979
     0.365079     -0.191136
     0.380952      -0.19669
     0.396825     -0.201529
     0.412698     -0.205538
     0.428571     -0.208603
     0.444444      -0.21061
     0.460317     -0.211308
      0.47619      -0.21072
     0.492063      -0.20876
     0.507937     -0.205357
      0.52381     -0.200457
     0.539683     -0.194023
     0.555556     -0.186041
     0.571429     -0.176346
     0.587302     -0.165139
     0.603175     -0.152466
     0.619048     -0.138385
     0.634921     -0.122966
     0.650794     -0.106283
     0.666667    -0.0884066
      0.68254    -0.0692788
     0.698413    -0.0490673
     0.714286    -0.0277765
     0.730159   -0.00536579
     0.746032     0.0182654
     0.761905      0.043294
     0.777778     0.0699912
     0.793651     0.0990271
     0.809524      0.130764
     0.825397      0.165906
      0.84127      0.205304
     0.857143      0.249944
     0.873016      0.300903
     0.888889       0.35928
     0.904762      0.427091
     0.920635      0.504117
     0.936508      0.590451
     0.952381      0.685417
     0.968254      0.787363
     0.984127      0.893517
            1             1
