#    distance            Uy
            0   2.76338e-18
     0.015873     0.0281123
     0.031746     0.0532434
     0.047619     0.0755149
    0.0634921     0.0950728
    0.0793651      0.112081
    0.0952381      0.126716
     0.111111      0.139159
     0.126984      0.149385
     0.142857      0.157807
      0.15873      0.164588
     0.174603      0.169878
     0.190476      0.173812
     0.206349      0.176507
     0.222222      0.178068
     0.238095      0.178471
     0.253968      0.177905
     0.269841      0.176423
     0.285714      0.174063
     0.301587      0.170851
      0.31746      0.166804
     0.333333      0.161928
     0.349206      0.156133
     0.365079      0.149503
     0.380952      0.142028
     0.396825      0.133695
     0.412698      0.124491
     0.428571      0.114401
     0.444444      0.103413
     0.460317     0.0914154
      0.47619     0.0785038
     0.492063     0.0646789
     0.507937     0.0499493
      0.52381     0.0343323
     0.539683     0.0178562
     0.555556   0.000562587
     0.571429    -0.0175679
     0.587302    -0.0363651
     0.603175    -0.0557265
     0.619048     -0.075525
     0.634921     -0.095605
     0.650794      -0.11578
     0.666667     -0.135828
      0.68254     -0.155418
     0.698413     -0.174262
     0.714286     -0.192017
     0.730159     -0.208307
     0.746032     -0.222725
     0.761905     -0.234847
     0.777778      -0.24424
     0.793651     -0.250089
     0.809524      -0.25233
     0.825397     -0.250649
      0.84127     -0.244819
     0.857143     -0.234724
     0.873016      -0.22038
     0.888889     -0.201947
     0.904762     -0.179367
     0.920635     -0.153574
     0.936508     -0.125176
     0.952381    -0.0948652
     0.968254    -0.0633874
     0.984127    -0.0315082
            1             0
