#    distance            Ux
  1.54198e-18  -1.13743e-18
     0.015873    -0.0116232
     0.031746    -0.0225043
     0.047619    -0.0327687
    0.0634921    -0.0425222
    0.0793651    -0.0518571
    0.0952381    -0.0608553
     0.111111    -0.0695882
     0.126984    -0.0781012
     0.142857    -0.0864727
      0.15873    -0.0947445
     0.174603     -0.102949
     0.190476      -0.11111
     0.206349     -0.119241
     0.222222     -0.127346
     0.238095     -0.135414
     0.253968     -0.143427
     0.269841     -0.151354
     0.285714     -0.159152
     0.301587     -0.166768
      0.31746     -0.174134
     0.333333     -0.181175
     0.349206     -0.187747
     0.365079     -0.193789
     0.380952     -0.199195
     0.396825     -0.203856
     0.412698     -0.207655
     0.428571     -0.210481
     0.444444      -0.21222
     0.460317     -0.212625
      0.47619     -0.211723
     0.492063     -0.209433
     0.507937     -0.205689
      0.52381     -0.200442
     0.539683     -0.193662
     0.555556     -0.185337
     0.571429     -0.175312
     0.587302      -0.16379
     0.603175     -0.150821
     0.619048     -0.136469
     0.634921     -0.120805
     0.650794     -0.103904
     0.666667    -0.0858398
      0.68254     -0.066557
     0.698413    -0.0462202
     0.714286    -0.0248335
     0.730159   -0.00235507
     0.746032     0.0213164
     0.761905     0.0463586
     0.777778     0.0730434
     0.793651      0.102039
     0.809524       0.13371
     0.825397       0.16876
      0.84127       0.20804
     0.857143      0.252536
     0.873016      0.303325
     0.888889      0.361505
     0.904762      0.429088
     0.920635      0.505859
     0.936508      0.591908
     0.952381      0.686559
     0.968254      0.788156
     0.984127      0.893927
            1             1
