#    distance            Uy
            0   2.75319e-18
     0.015873     0.0280089
     0.031746     0.0530493
     0.047619     0.0752422
    0.0634921     0.0947328
    0.0793651      0.111685
    0.0952381      0.126273
     0.111111      0.138679
     0.126984      0.148877
     0.142857       0.15728
      0.15873      0.164048
     0.174603      0.169332
     0.190476      0.173265
     0.206349      0.175966
     0.222222      0.177537
     0.238095      0.177955
     0.253968      0.177409
     0.269841       0.17595
     0.285714      0.173616
     0.301587      0.170433
      0.31746      0.166417
     0.333333      0.161576
     0.349206      0.155816
     0.365079      0.149224
     0.380952      0.141788
     0.396825      0.133495
     0.412698      0.124331
     0.428571      0.114282
     0.444444      0.103335
     0.460317     0.0913784
      0.47619     0.0785068
     0.492063     0.0647212
     0.507937     0.0500298
      0.52381       0.03445
     0.539683     0.0180098
     0.555556    0.00075076
     0.571429    -0.0173468
     0.587302    -0.0361124
     0.603175    -0.0554437
     0.619048    -0.0752135
     0.634921    -0.0952663
     0.650794     -0.115415
     0.666667     -0.135439
      0.68254     -0.155006
     0.698413     -0.173829
     0.714286     -0.191565
     0.730159     -0.207838
     0.746032     -0.222242
     0.761905     -0.234352
     0.777778     -0.243738
     0.793651     -0.249585
     0.809524     -0.251829
     0.825397     -0.250156
      0.84127     -0.244341
     0.857143     -0.234268
     0.873016     -0.219953
     0.888889     -0.201557
     0.904762     -0.179019
     0.920635     -0.153276
     0.936508     -0.124932
     0.952381    -0.0946795
     0.968254    -0.0632623
     0.984127    -0.0314453
            1             0
