#    distance            Uy
            0   2.76228e-18
     0.015873     0.0281011
     0.031746     0.0532222
     0.047619      0.075485
    0.0634921     0.0950353
    0.0793651      0.112037
    0.0952381      0.126667
     0.111111      0.139105
     0.126984      0.149328
     0.142857      0.157748
      0.15873      0.164528
     0.174603      0.169817
     0.190476       0.17375
     0.206349      0.176446
     0.222222      0.178008
     0.238095      0.178412
     0.253968      0.177849
     0.269841      0.176369
     0.285714      0.174012
     0.301587      0.170803
      0.31746      0.166759
     0.333333      0.161888
     0.349206      0.156097
     0.365079      0.149471
     0.380952         0.142
     0.396825      0.133672
     0.412698      0.124473
     0.428571      0.114387
     0.444444      0.103404
     0.460317     0.0914116
      0.47619     0.0785045
     0.492063     0.0646842
     0.507937      0.049959
      0.52381     0.0343463
     0.539683     0.0178743
     0.555556   0.000584666
     0.571429    -0.0175421
     0.587302    -0.0363357
     0.603175    -0.0556938
     0.619048     -0.075489
     0.634921     -0.095566
     0.650794     -0.115738
     0.666667     -0.135784
      0.68254     -0.155371
     0.698413     -0.174212
     0.714286     -0.191966
     0.730159     -0.208254
     0.746032     -0.222671
     0.761905     -0.234791
     0.777778     -0.244183
     0.793651     -0.250032
     0.809524     -0.252274
     0.825397     -0.250594
      0.84127     -0.244766
     0.857143     -0.234673
     0.873016     -0.220332
     0.888889     -0.201904
     0.904762     -0.179328
     0.920635     -0.153542
     0.936508     -0.125149
     0.952381     -0.094845
     0.968254    -0.0633739
     0.984127    -0.0315015
            1             0
