#    distance            Ux
  1.54198e-18  -1.13713e-18
     0.015873    -0.0116201
     0.031746    -0.0224981
     0.047619    -0.0327596
    0.0634921    -0.0425102
    0.0793651    -0.0518425
    0.0952381     -0.060838
     0.111111    -0.0695683
     0.126984    -0.0780789
     0.142857    -0.0864481
      0.15873    -0.0947177
     0.174603      -0.10292
     0.190476     -0.111079
     0.206349     -0.119208
     0.222222     -0.127312
     0.238095     -0.135379
     0.253968     -0.143391
     0.269841     -0.151317
     0.285714     -0.159116
     0.301587     -0.166731
      0.31746     -0.174098
     0.333333     -0.181139
     0.349206     -0.187712
     0.365079     -0.193756
     0.380952     -0.199164
     0.396825     -0.203826
     0.412698     -0.207629
     0.428571     -0.210457
     0.444444       -0.2122
     0.460317     -0.212608
      0.47619      -0.21171
     0.492063     -0.209425
     0.507937     -0.205685
      0.52381     -0.200442
     0.539683     -0.193666
     0.555556     -0.185346
     0.571429     -0.175325
     0.587302     -0.163807
     0.603175     -0.150842
     0.619048     -0.136493
     0.634921     -0.120832
     0.650794     -0.103934
     0.666667    -0.0858716
      0.68254    -0.0665908
     0.698413    -0.0462557
     0.714286    -0.0248702
     0.730159   -0.00239277
     0.746032      0.021278
     0.761905     0.0463199
     0.777778     0.0730048
     0.793651         0.102
     0.809524      0.133672
     0.825397      0.168723
      0.84127      0.208005
     0.857143      0.252503
     0.873016      0.303294
     0.888889      0.361476
     0.904762      0.429062
     0.920635      0.505836
     0.936508      0.591889
     0.952381      0.686544
     0.968254      0.788145
     0.984127      0.893922
            1             1
