#    distance            Ux
  1.54198e-18   -1.0484e-18
     0.015873    -0.0107095
     0.031746    -0.0207008
     0.047619     -0.030098
    0.0634921    -0.0390064
    0.0793651    -0.0475188
    0.0952381    -0.0557183
     0.111111    -0.0636781
     0.126984    -0.0714498
     0.142857     -0.079112
      0.15873    -0.0867102
     0.174603    -0.0942817
     0.190476     -0.101855
     0.206349      -0.10945
     0.222222     -0.117076
     0.238095     -0.124738
     0.253968     -0.132419
     0.269841     -0.140095
     0.285714     -0.147733
     0.301587     -0.155285
      0.31746     -0.162693
     0.333333     -0.169889
     0.349206     -0.176748
     0.365079     -0.183202
     0.380952     -0.189148
     0.396825     -0.194475
     0.412698     -0.199069
     0.428571     -0.202809
     0.444444     -0.205576
     0.460317     -0.207123
      0.47619     -0.207449
     0.492063     -0.206458
     0.507937     -0.204064
      0.52381     -0.200198
     0.539683     -0.194807
     0.555556      -0.18786
     0.571429     -0.179173
     0.587302     -0.168932
     0.603175     -0.157168
     0.619048     -0.143931
     0.634921     -0.129279
     0.650794     -0.113278
     0.666667    -0.0959956
      0.68254     -0.077359
     0.698413    -0.0575458
     0.714286    -0.0365613
     0.730159    -0.0143666
     0.746032    0.00913646
     0.761905     0.0341223
     0.777778       0.06086
     0.793651     0.0900268
     0.809524      0.121975
     0.825397      0.157407
      0.84127      0.197175
     0.857143      0.242262
     0.873016      0.293747
     0.888889      0.352725
     0.904762       0.42122
     0.920635      0.499006
     0.936508      0.586179
     0.952381      0.682071
     0.968254      0.785036
     0.984127      0.892309
            1             1
