#    distance            Ux
  1.54198e-18  -1.12929e-18
     0.015873    -0.0115396
     0.031746    -0.0223386
     0.047619    -0.0325225
    0.0634921    -0.0421974
    0.0793651    -0.0514559
    0.0952381    -0.0603798
     0.111111    -0.0690409
     0.126984    -0.0774854
     0.142857    -0.0857918
      0.15873    -0.0940019
     0.174603     -0.102149
     0.190476     -0.110257
     0.206349      -0.11834
     0.222222     -0.126404
     0.238095     -0.134437
     0.253968     -0.142422
     0.269841      -0.15033
     0.285714     -0.158117
     0.301587      -0.16573
      0.31746     -0.173104
     0.333333     -0.180163
     0.349206     -0.186765
     0.365079     -0.192848
     0.380952     -0.198307
     0.396825     -0.203031
     0.412698     -0.206906
     0.428571     -0.209817
     0.444444     -0.211651
     0.460317      -0.21216
      0.47619      -0.21137
     0.492063     -0.209197
     0.507937     -0.205574
      0.52381      -0.20045
     0.539683     -0.193792
     0.555556     -0.185589
     0.571429      -0.17568
     0.587302     -0.164269
     0.603175     -0.151405
     0.619048     -0.137148
     0.634921     -0.121571
     0.650794     -0.104747
     0.666667    -0.0867486
      0.68254    -0.0675205
     0.698413     -0.047228
     0.714286    -0.0258752
     0.730159   -0.00342084
     0.746032     0.0202363
     0.761905     0.0452734
     0.777778     0.0719625
     0.793651      0.100972
     0.809524      0.132666
     0.825397      0.167749
      0.84127       0.20707
     0.857143      0.251617
     0.873016      0.302467
     0.888889      0.360716
     0.904762       0.42838
     0.920635      0.505242
     0.936508      0.591393
     0.952381      0.686156
     0.968254      0.787876
     0.984127      0.893783
            1             1
