#    distance            Uy
            0   2.76393e-18
     0.015873     0.0281179
     0.031746     0.0532539
     0.047619     0.0755297
    0.0634921     0.0950913
    0.0793651      0.112103
    0.0952381      0.126741
     0.111111      0.139185
     0.126984      0.149413
     0.142857      0.157836
      0.15873      0.164618
     0.174603      0.169908
     0.190476      0.173842
     0.206349      0.176537
     0.222222      0.178098
     0.238095      0.178499
     0.253968      0.177933
     0.269841       0.17645
     0.285714      0.174088
     0.301587      0.170875
      0.31746      0.166825
     0.333333      0.161948
     0.349206       0.15615
     0.365079      0.149518
     0.380952      0.142041
     0.396825      0.133706
     0.412698      0.124499
     0.428571      0.114407
     0.444444      0.103417
     0.460317     0.0914172
      0.47619     0.0785033
     0.492063     0.0646763
     0.507937     0.0499445
      0.52381     0.0343254
     0.539683     0.0178474
     0.555556    0.00055188
     0.571429    -0.0175804
     0.587302    -0.0363793
     0.603175    -0.0557424
     0.619048    -0.0755424
     0.634921    -0.0956239
     0.650794       -0.1158
     0.666667      -0.13585
      0.68254     -0.155441
     0.698413     -0.174286
     0.714286     -0.192042
     0.730159     -0.208333
     0.746032     -0.222752
     0.761905     -0.234874
     0.777778     -0.244267
     0.793651     -0.250117
     0.809524     -0.252358
     0.825397     -0.250676
      0.84127     -0.244845
     0.857143     -0.234748
     0.873016     -0.220403
     0.888889     -0.201969
     0.904762     -0.179385
     0.920635      -0.15359
     0.936508     -0.125189
     0.952381     -0.094875
     0.968254     -0.063394
     0.984127    -0.0315115
            1             0
