#    distance            Ux
  1.54198e-18  -6.75698e-19
     0.015873   -0.00687443
     0.031746    -0.0130405
     0.047619    -0.0186028
    0.0634921    -0.0236425
    0.0793651    -0.0282239
    0.0952381    -0.0324076
     0.111111    -0.0362511
     0.126984    -0.0397837
     0.142857    -0.0430935
      0.15873    -0.0462295
     0.174603    -0.0492384
     0.190476    -0.0521639
     0.206349    -0.0550475
     0.222222    -0.0579278
     0.238095    -0.0608479
     0.253968    -0.0638398
     0.269841    -0.0669329
     0.285714    -0.0701539
     0.301587    -0.0735266
      0.31746    -0.0770715
     0.333333     -0.080806
     0.349206    -0.0847676
     0.365079    -0.0889438
     0.380952    -0.0933389
     0.396825    -0.0979521
     0.412698     -0.102777
     0.428571     -0.107799
     0.444444     -0.112998
     0.460317     -0.118355
      0.47619     -0.123807
     0.492063     -0.129299
     0.507937     -0.134762
      0.52381     -0.140113
     0.539683     -0.145254
     0.555556     -0.150071
     0.571429     -0.154364
     0.587302     -0.158022
     0.603175     -0.160874
     0.619048     -0.162737
     0.634921      -0.16341
     0.650794      -0.16268
     0.666667     -0.160317
      0.68254     -0.155841
     0.698413     -0.149173
     0.714286     -0.140031
     0.730159     -0.128102
     0.746032     -0.113046
     0.761905    -0.0944792
     0.777778    -0.0719697
     0.793651    -0.0444691
     0.809524     -0.011844
     0.825397     0.0265617
      0.84127     0.0714752
     0.857143       0.12368
     0.873016      0.183987
     0.888889       0.25318
     0.904762      0.333058
     0.920635      0.423006
     0.936508      0.523009
     0.952381      0.632486
     0.968254      0.750115
     0.984127      0.873681
            1             1
