#    distance            Uy
            0   2.76388e-18
     0.015873     0.0281174
     0.031746     0.0532529
     0.047619     0.0755284
    0.0634921     0.0950896
    0.0793651      0.112101
    0.0952381      0.126738
     0.111111      0.139183
     0.126984       0.14941
     0.142857      0.157834
      0.15873      0.164616
     0.174603      0.169906
     0.190476      0.173839
     0.206349      0.176535
     0.222222      0.178095
     0.238095      0.178497
     0.253968      0.177931
     0.269841      0.176447
     0.285714      0.174086
     0.301587      0.170872
      0.31746      0.166823
     0.333333      0.161946
     0.349206      0.156149
     0.365079      0.149517
     0.380952       0.14204
     0.396825      0.133705
     0.412698      0.124498
     0.428571      0.114407
     0.444444      0.103417
     0.460317      0.091417
      0.47619     0.0785033
     0.492063     0.0646765
     0.507937     0.0499449
      0.52381      0.034326
     0.539683     0.0178482
     0.555556   0.000552832
     0.571429    -0.0175793
     0.587302    -0.0363781
     0.603175     -0.055741
     0.619048    -0.0755409
     0.634921    -0.0956222
     0.650794     -0.115798
     0.666667     -0.135848
      0.68254     -0.155439
     0.698413     -0.174283
     0.714286      -0.19204
     0.730159      -0.20833
     0.746032     -0.222749
     0.761905     -0.234871
     0.777778     -0.244265
     0.793651     -0.250114
     0.809524     -0.252355
     0.825397     -0.250674
      0.84127     -0.244842
     0.857143     -0.234746
     0.873016     -0.220401
     0.888889     -0.201967
     0.904762     -0.179384
     0.920635     -0.153589
     0.936508     -0.125188
     0.952381    -0.0948741
     0.968254    -0.0633934
     0.984127    -0.0315112
            1             0
