#    distance            Ux
  1.54198e-18   -1.1275e-18
     0.015873    -0.0115213
     0.031746    -0.0223022
     0.047619    -0.0324687
    0.0634921    -0.0421267
    0.0793651    -0.0513688
    0.0952381     -0.060277
     0.111111     -0.068923
     0.126984    -0.0773532
     0.142857    -0.0856459
      0.15873    -0.0938433
     0.174603     -0.101978
     0.190476     -0.110076
     0.206349     -0.118149
     0.222222     -0.126204
     0.238095      -0.13423
     0.253968      -0.14221
     0.269841     -0.150113
     0.285714     -0.157898
     0.301587     -0.165511
      0.31746     -0.172887
     0.333333      -0.17995
     0.349206     -0.186558
     0.365079      -0.19265
     0.380952      -0.19812
     0.396825     -0.202857
     0.412698     -0.206748
     0.428571     -0.209677
     0.444444     -0.211531
     0.460317     -0.212062
      0.47619     -0.211296
     0.492063     -0.209148
     0.507937      -0.20555
      0.52381     -0.200452
     0.539683      -0.19382
     0.555556     -0.185642
     0.571429     -0.175758
     0.587302     -0.164371
     0.603175     -0.151529
     0.619048     -0.137293
     0.634921     -0.121733
     0.650794     -0.104925
     0.666667    -0.0869414
      0.68254    -0.0677248
     0.698413    -0.0474417
     0.714286    -0.0260961
     0.730159   -0.00364673
     0.746032     0.0200073
     0.761905     0.0450435
     0.777778     0.0717334
     0.793651      0.100746
     0.809524      0.132445
     0.825397      0.167534
      0.84127      0.206864
     0.857143      0.251422
     0.873016      0.302284
     0.888889      0.360548
     0.904762      0.428229
     0.920635       0.50511
     0.936508      0.591282
     0.952381      0.686069
     0.968254      0.787816
     0.984127      0.893752
            1             1
