#    distance            Uy
            0   2.75994e-18
     0.015873     0.0280773
     0.031746     0.0531775
     0.047619     0.0754219
    0.0634921     0.0949566
    0.0793651      0.111946
    0.0952381      0.126564
     0.111111      0.138994
     0.126984       0.14921
     0.142857      0.157626
      0.15873      0.164403
     0.174603       0.16969
     0.190476      0.173623
     0.206349      0.176321
     0.222222      0.177885
     0.238095      0.178293
     0.253968      0.177734
     0.269841       0.17626
     0.285714      0.173908
     0.301587      0.170706
      0.31746      0.166669
     0.333333      0.161805
     0.349206      0.156022
     0.365079      0.149405
     0.380952      0.141943
     0.396825      0.133624
     0.412698      0.124434
     0.428571      0.114358
     0.444444      0.103385
     0.460317     0.0914012
      0.47619     0.0785035
     0.492063     0.0646924
     0.507937     0.0499762
      0.52381     0.0343722
     0.539683     0.0179087
     0.555556   0.000627215
     0.571429    -0.0174917
     0.587302    -0.0362778
     0.603175    -0.0556287
     0.619048    -0.0754171
     0.634921    -0.0954876
     0.650794     -0.115653
     0.666667     -0.135693
      0.68254     -0.155275
     0.698413     -0.174111
     0.714286      -0.19186
     0.730159     -0.208144
     0.746032     -0.222557
     0.761905     -0.234675
     0.777778     -0.244065
     0.793651     -0.249914
     0.809524     -0.252156
     0.825397     -0.250478
      0.84127     -0.244653
     0.857143     -0.234566
     0.873016     -0.220232
     0.888889     -0.201813
     0.904762     -0.179247
     0.920635     -0.153472
     0.936508     -0.125092
     0.952381    -0.0948019
     0.968254    -0.0633451
     0.984127    -0.0314871
            1             0
