#    distance            Ux
  1.54198e-18  -1.11868e-18
     0.015873    -0.0114307
     0.031746     -0.022124
     0.047619    -0.0322051
    0.0634921    -0.0417801
    0.0793651    -0.0509415
    0.0952381    -0.0597717
     0.111111    -0.0683426
     0.126984    -0.0767011
     0.142857    -0.0849257
      0.15873    -0.0930589
     0.174603     -0.101134
     0.190476     -0.109176
     0.206349       -0.1172
     0.222222     -0.125211
     0.238095     -0.133201
     0.253968     -0.141152
     0.269841     -0.149034
     0.285714     -0.156807
     0.301587     -0.164417
      0.31746     -0.171801
     0.333333     -0.178882
     0.349206     -0.185522
     0.365079     -0.191657
     0.380952     -0.197182
     0.396825     -0.201986
     0.412698     -0.205955
     0.428571     -0.208973
     0.444444     -0.210928
     0.460317     -0.211569
      0.47619      -0.21092
     0.492063     -0.208895
     0.507937     -0.205425
      0.52381     -0.200457
     0.539683     -0.193955
     0.555556     -0.185905
     0.571429     -0.176145
     0.587302     -0.164876
     0.603175     -0.152144
     0.619048      -0.13801
     0.634921     -0.122543
     0.650794     -0.105817
     0.666667    -0.0879032
      0.68254    -0.0687447
     0.698413    -0.0485084
     0.714286    -0.0271987
     0.730159   -0.00477466
     0.746032     0.0188644
     0.761905     0.0438956
     0.777778     0.0705902
     0.793651      0.099618
     0.809524      0.131342
     0.825397      0.166466
      0.84127       0.20584
     0.857143      0.250452
     0.873016      0.301378
     0.888889      0.359716
     0.904762      0.427482
     0.920635      0.504458
     0.936508      0.590736
     0.952381      0.685641
     0.968254      0.787518
     0.984127      0.893597
            1             1
