#    distance            Ux
  1.54198e-18  -1.13618e-18
     0.015873    -0.0116104
     0.031746    -0.0224789
     0.047619    -0.0327311
    0.0634921    -0.0424727
    0.0793651     -0.051796
    0.0952381    -0.0607829
     0.111111    -0.0695048
     0.126984    -0.0780073
     0.142857    -0.0863688
      0.15873     -0.094631
     0.174603     -0.102827
     0.190476     -0.110979
     0.206349     -0.119102
     0.222222     -0.127201
     0.238095     -0.135263
     0.253968     -0.143272
     0.269841     -0.151196
     0.285714     -0.158992
     0.301587     -0.166607
      0.31746     -0.173975
     0.333333     -0.181018
     0.349206     -0.187595
     0.365079     -0.193643
     0.380952     -0.199058
     0.396825     -0.203728
     0.412698     -0.207539
     0.428571     -0.210378
     0.444444     -0.212132
     0.460317     -0.212553
      0.47619     -0.211668
     0.492063     -0.209396
     0.507937     -0.205671
      0.52381     -0.200443
     0.539683     -0.193681
     0.555556     -0.185375
     0.571429     -0.175367
     0.587302     -0.163863
     0.603175      -0.15091
     0.619048     -0.136573
     0.634921     -0.120922
     0.650794     -0.104033
     0.666667    -0.0859783
      0.68254     -0.066704
     0.698413    -0.0463742
     0.714286    -0.0249927
     0.730159   -0.00251822
     0.746032     0.0211508
     0.761905     0.0461919
     0.777778     0.0728771
     0.793651      0.101874
     0.809524      0.133549
     0.825397      0.168603
      0.84127      0.207889
     0.857143      0.252393
     0.873016      0.303191
     0.888889      0.361381
     0.904762      0.428976
     0.920635      0.505761
     0.936508      0.591826
     0.952381      0.686495
     0.968254      0.788111
     0.984127      0.893904
            1             1
