#    distance            Ux
  1.38778e-17             0
     0.015873   -0.00705642
     0.031746    -0.0141128
     0.047619    -0.0211693
    0.0634921    -0.0268988
    0.0793651    -0.0323941
    0.0952381    -0.0378894
     0.111111    -0.0427795
     0.126984    -0.0474102
     0.142857    -0.0520409
      0.15873    -0.0564812
     0.174603    -0.0607656
     0.190476    -0.0650501
     0.206349    -0.0693552
     0.222222    -0.0736915
     0.238095    -0.0780277
     0.253968    -0.0824469
     0.269841    -0.0871149
     0.285714     -0.091783
     0.301587    -0.0964964
      0.31746     -0.101618
     0.333333     -0.106739
     0.349206     -0.111861
     0.365079     -0.117316
     0.380952     -0.122789
     0.396825     -0.128262
     0.412698     -0.133693
     0.428571     -0.139113
     0.444444     -0.144533
     0.460317     -0.149421
      0.47619     -0.154022
     0.492063     -0.158623
     0.507937     -0.162254
      0.52381     -0.164916
     0.539683     -0.167578
     0.555556     -0.169088
     0.571429      -0.16846
     0.587302     -0.167832
     0.603175     -0.166274
     0.619048        -0.161
     0.634921     -0.155726
     0.650794     -0.150161
     0.666667     -0.139058
      0.68254     -0.127954
     0.698413      -0.11685
     0.714286    -0.0994245
     0.730159    -0.0812962
     0.746032    -0.0631679
     0.761905     -0.038197
     0.777778    -0.0109452
     0.793651     0.0163065
     0.809524     0.0517229
     0.825397     0.0925824
      0.84127      0.133442
     0.857143      0.183853
     0.873016      0.245939
     0.888889      0.308024
     0.904762      0.378727
     0.920635      0.469535
     0.936508      0.560343
     0.952381       0.65479
     0.968254       0.76986
     0.984127       0.88493
            1             1
