#    distance            Ux
  1.54198e-18   -1.1357e-18
     0.015873    -0.0116054
     0.031746    -0.0224684
     0.047619    -0.0327142
    0.0634921    -0.0424486
    0.0793651     -0.051764
    0.0952381    -0.0607425
     0.111111    -0.0694557
     0.126984    -0.0779494
     0.142857    -0.0863021
      0.15873    -0.0945557
     0.174603     -0.102743
     0.190476     -0.110888
     0.206349     -0.119004
     0.222222     -0.127096
     0.238095     -0.135153
     0.253968     -0.143157
     0.269841     -0.151077
     0.285714     -0.158871
     0.301587     -0.166484
      0.31746     -0.173852
     0.333333     -0.180897
     0.349206     -0.187476
     0.365079     -0.193528
     0.380952     -0.198948
     0.396825     -0.203626
     0.412698     -0.207446
     0.428571     -0.210294
     0.444444      -0.21206
     0.460317     -0.212493
      0.47619     -0.211622
     0.492063     -0.209364
     0.507937     -0.205654
      0.52381     -0.200441
     0.539683     -0.193694
     0.555556     -0.185403
     0.571429      -0.17541
     0.587302     -0.163919
     0.603175     -0.150979
     0.619048     -0.136654
     0.634921     -0.121013
     0.650794     -0.104134
     0.666667    -0.0860875
      0.68254    -0.0668196
     0.698413    -0.0464948
     0.714286     -0.025117
     0.730159   -0.00264476
     0.746032     0.0210233
     0.761905     0.0460647
     0.777778     0.0727515
     0.793651      0.101752
     0.809524       0.13343
     0.825397       0.16849
      0.84127      0.207783
     0.857143      0.252294
     0.873016      0.303101
     0.888889        0.3613
     0.904762      0.428906
     0.920635      0.505702
     0.936508      0.591779
     0.952381      0.686459
     0.968254      0.788087
     0.984127      0.893892
            1             1
