#    distance            Uy
            0   2.73347e-18
     0.015873     0.0278084
     0.031746     0.0526707
     0.047619     0.0747076
    0.0634921     0.0940637
    0.0793651      0.110902
    0.0952381      0.125396
     0.111111      0.137725
     0.126984      0.147866
     0.142857      0.156227
      0.15873      0.162968
     0.174603      0.168238
     0.190476       0.17217
     0.206349       0.17488
     0.222222      0.176471
     0.238095      0.176918
     0.253968       0.17641
     0.269841      0.174997
     0.285714      0.172715
     0.301587       0.16959
      0.31746      0.165638
     0.333333      0.160865
     0.349206      0.155179
     0.365079      0.148663
     0.380952      0.141305
     0.396825      0.133093
     0.412698      0.124011
     0.428571      0.114044
     0.444444       0.10318
     0.460317     0.0913048
      0.47619     0.0785138
     0.492063     0.0648073
     0.507937      0.050193
      0.52381      0.034688
     0.539683     0.0183201
     0.555556    0.00113064
     0.571429    -0.0169005
     0.587302    -0.0356026
     0.603175    -0.0548733
     0.619048    -0.0745854
     0.634921    -0.0945834
     0.650794      -0.11468
     0.666667     -0.134656
      0.68254     -0.154177
     0.698413     -0.172958
     0.714286     -0.190656
     0.730159     -0.206895
     0.746032      -0.22127
     0.761905     -0.233359
     0.777778      -0.24273
     0.793651     -0.248573
     0.809524     -0.250825
     0.825397     -0.249171
      0.84127     -0.243388
     0.857143     -0.233361
     0.873016     -0.219106
     0.888889     -0.200785
     0.904762     -0.178336
     0.920635     -0.152693
     0.936508     -0.124458
     0.952381    -0.0943208
     0.968254    -0.0630229
     0.984127    -0.0313263
            1             0
