#    distance            Uy
            0   2.72652e-18
     0.015873     0.0277377
     0.031746     0.0525373
     0.047619     0.0745192
    0.0634921     0.0938278
    0.0793651      0.110626
    0.0952381      0.125086
     0.111111      0.137388
     0.126984      0.147509
     0.142857      0.155855
      0.15873      0.162587
     0.174603      0.167852
     0.190476      0.171783
     0.206349      0.174496
     0.222222      0.176094
     0.238095      0.176551
     0.253968      0.176057
     0.269841      0.174659
     0.285714      0.172396
     0.301587      0.169292
      0.31746      0.165362
     0.333333      0.160613
     0.349206      0.154952
     0.365079      0.148463
     0.380952      0.141133
     0.396825      0.132949
     0.412698      0.123896
     0.428571      0.113959
     0.444444      0.103123
     0.460317      0.091277
      0.47619     0.0785146
     0.492063     0.0648362
     0.507937     0.0502493
      0.52381     0.0347708
     0.539683     0.0184287
     0.555556    0.00126398
     0.571429    -0.0167435
     0.587302    -0.0354229
     0.603175    -0.0546721
     0.619048    -0.0743636
     0.634921    -0.0943419
     0.650794      -0.11442
     0.666667     -0.134378
      0.68254     -0.153883
     0.698413     -0.172649
     0.714286     -0.190333
     0.730159      -0.20656
     0.746032     -0.220926
     0.761905     -0.233006
     0.777778     -0.242373
     0.793651     -0.248215
     0.809524     -0.250468
     0.825397     -0.248821
      0.84127      -0.24305
     0.857143     -0.233039
     0.873016     -0.218806
     0.888889     -0.200511
     0.904762     -0.178094
     0.920635     -0.152486
     0.936508      -0.12429
     0.952381    -0.0941935
     0.968254    -0.0629379
     0.984127    -0.0312839
            1             0
