#    distance            Uy
            0   2.76407e-18
     0.015873     0.0281193
     0.031746     0.0532566
     0.047619     0.0755335
    0.0634921     0.0950961
    0.0793651      0.112109
    0.0952381      0.126747
     0.111111      0.139192
     0.126984       0.14942
     0.142857      0.157844
      0.15873      0.164626
     0.174603      0.169916
     0.190476       0.17385
     0.206349      0.176545
     0.222222      0.178105
     0.238095      0.178507
     0.253968       0.17794
     0.269841      0.176457
     0.285714      0.174094
     0.301587       0.17088
      0.31746      0.166831
     0.333333      0.161953
     0.349206      0.156155
     0.365079      0.149522
     0.380952      0.142044
     0.396825      0.133709
     0.412698      0.124501
     0.428571      0.114409
     0.444444      0.103418
     0.460317     0.0914176
      0.47619     0.0785032
     0.492063     0.0646756
     0.507937     0.0499433
      0.52381     0.0343237
     0.539683     0.0178451
     0.555556    0.00054913
     0.571429    -0.0175837
     0.587302     -0.036383
     0.603175    -0.0557465
     0.619048    -0.0755469
     0.634921    -0.0956288
     0.650794     -0.115805
     0.666667     -0.135855
      0.68254     -0.155446
     0.698413     -0.174292
     0.714286     -0.192048
     0.730159     -0.208339
     0.746032     -0.222759
     0.761905     -0.234881
     0.777778     -0.244274
     0.793651     -0.250124
     0.809524     -0.252365
     0.825397     -0.250683
      0.84127     -0.244851
     0.857143     -0.234755
     0.873016     -0.220409
     0.888889     -0.201974
     0.904762      -0.17939
     0.920635     -0.153594
     0.936508     -0.125192
     0.952381    -0.0948775
     0.968254    -0.0633957
     0.984127    -0.0315123
            1             0
