#    distance            Uy
  5.42101e-18    8.8078e-18
     0.015873     0.0125926
     0.031746     0.0251853
     0.047619     0.0377779
    0.0634921     0.0459248
    0.0793651     0.0532871
    0.0952381     0.0606494
     0.111111     0.0650502
     0.126984     0.0681819
     0.142857     0.0713136
      0.15873     0.0728524
     0.174603     0.0730879
     0.190476     0.0733233
     0.206349     0.0728507
     0.222222     0.0713159
     0.238095     0.0697812
     0.253968     0.0679887
     0.269841     0.0654232
     0.285714     0.0628577
     0.301587     0.0602299
      0.31746     0.0570411
     0.333333     0.0538524
     0.349206     0.0506636
     0.365079     0.0470597
     0.380952      0.043434
     0.396825     0.0398082
     0.412698     0.0358774
     0.428571     0.0318702
     0.444444      0.027863
     0.460317     0.0235967
      0.47619     0.0191909
     0.492063     0.0147851
     0.507937     0.0101547
      0.52381    0.00529964
     0.539683   0.000444598
     0.555556   -0.00458221
     0.571429   -0.00992802
     0.587302    -0.0152738
     0.603175     -0.020711
     0.619048    -0.0265136
     0.634921    -0.0323161
     0.650794    -0.0381306
     0.666667    -0.0441713
      0.68254     -0.050212
     0.698413    -0.0562528
     0.714286    -0.0620042
     0.730159    -0.0677235
     0.746032    -0.0734428
     0.761905    -0.0781199
     0.777778    -0.0824495
     0.793651    -0.0867791
     0.809524    -0.0892898
     0.825397    -0.0905879
      0.84127     -0.091886
     0.857143    -0.0909445
     0.873016    -0.0872658
     0.888889    -0.0835871
     0.904762    -0.0780165
     0.920635    -0.0680314
     0.936508    -0.0580463
     0.952381     -0.047199
     0.968254     -0.031466
     0.984127     -0.015733
            1             0
