#    distance            Ux
  1.54198e-18  -7.63685e-19
     0.015873   -0.00778407
     0.031746    -0.0148939
     0.047619    -0.0214304
    0.0634921    -0.0274785
    0.0793651    -0.0331122
    0.0952381    -0.0384001
     0.111111    -0.0434052
     0.126984    -0.0481678
     0.142857    -0.0527718
      0.15873    -0.0572677
     0.174603    -0.0617028
     0.190476     -0.066121
     0.206349     -0.070563
     0.222222    -0.0750664
     0.238095    -0.0796788
     0.253968    -0.0844213
     0.269841    -0.0893179
     0.285714    -0.0943873
     0.301587    -0.0996421
      0.31746     -0.105088
     0.333333     -0.110723
     0.349206     -0.116554
     0.365079     -0.122536
     0.380952     -0.128634
     0.396825     -0.134801
     0.412698     -0.140979
     0.428571     -0.147093
     0.444444     -0.153058
     0.460317     -0.158735
      0.47619     -0.164026
     0.492063     -0.168807
     0.507937     -0.172942
      0.52381      -0.17629
     0.539683     -0.178706
     0.555556     -0.180045
     0.571429     -0.180013
     0.587302     -0.178599
     0.603175     -0.175679
     0.619048     -0.171141
     0.634921     -0.164888
     0.650794     -0.156831
     0.666667     -0.146897
      0.68254      -0.13479
     0.698413      -0.12065
     0.714286      -0.10439
     0.730159    -0.0859011
     0.746032    -0.0650313
     0.761905    -0.0415733
     0.777778    -0.0152445
     0.793651      0.014745
     0.809524     0.0485861
     0.825397     0.0869188
      0.84127      0.130506
     0.857143      0.180218
     0.873016      0.236998
     0.888889      0.301793
     0.904762      0.376519
     0.920635      0.460794
     0.936508      0.554679
     0.952381      0.657558
     0.968254      0.767943
     0.984127        0.8833
            1             1
