#    distance            Ux
  1.54198e-18  -1.13734e-18
     0.015873    -0.0116223
     0.031746    -0.0225025
     0.047619     -0.032766
    0.0634921    -0.0425187
    0.0793651    -0.0518528
    0.0952381    -0.0608502
     0.111111    -0.0695823
     0.126984    -0.0780946
     0.142857    -0.0864655
      0.15873    -0.0947366
     0.174603      -0.10294
     0.190476     -0.111101
     0.206349     -0.119231
     0.222222     -0.127336
     0.238095     -0.135403
     0.253968     -0.143416
     0.269841     -0.151343
     0.285714     -0.159141
     0.301587     -0.166757
      0.31746     -0.174124
     0.333333     -0.181165
     0.349206     -0.187737
     0.365079     -0.193779
     0.380952     -0.199186
     0.396825     -0.203847
     0.412698     -0.207648
     0.428571     -0.210474
     0.444444     -0.212214
     0.460317      -0.21262
      0.47619     -0.211719
     0.492063     -0.209431
     0.507937     -0.205688
      0.52381     -0.200442
     0.539683     -0.193663
     0.555556      -0.18534
     0.571429     -0.175316
     0.587302     -0.163795
     0.603175     -0.150827
     0.619048     -0.136476
     0.634921     -0.120813
     0.650794     -0.103913
     0.666667    -0.0858492
      0.68254     -0.066567
     0.698413    -0.0462307
     0.714286    -0.0248443
     0.730159   -0.00236622
     0.746032      0.021305
     0.761905     0.0463471
     0.777778      0.073032
     0.793651      0.102027
     0.809524      0.133699
     0.825397      0.168749
      0.84127       0.20803
     0.857143      0.252526
     0.873016      0.303316
     0.888889      0.361496
     0.904762       0.42908
     0.920635      0.505852
     0.936508      0.591903
     0.952381      0.686555
     0.968254      0.788153
     0.984127      0.893926
            1             1
