#    distance            Uy
            0   2.75573e-18
     0.015873     0.0280346
     0.031746     0.0530972
     0.047619     0.0753093
    0.0634921     0.0948165
    0.0793651      0.111783
    0.0952381      0.126383
     0.111111      0.138797
     0.126984      0.149003
     0.142857      0.157411
      0.15873      0.164183
     0.174603      0.169468
     0.190476      0.173401
     0.206349      0.176101
     0.222222       0.17767
     0.238095      0.178084
     0.253968      0.177533
     0.269841      0.176068
     0.285714      0.173728
     0.301587      0.170537
      0.31746      0.166514
     0.333333      0.161664
     0.349206      0.155895
     0.365079      0.149293
     0.380952      0.141847
     0.396825      0.133544
     0.412698       0.12437
     0.428571      0.114311
     0.444444      0.103354
     0.460317     0.0913868
      0.47619     0.0785052
     0.492063     0.0647098
     0.507937     0.0500089
      0.52381     0.0344197
     0.539683     0.0179707
     0.555556   0.000703013
     0.571429    -0.0174027
     0.587302    -0.0361761
     0.603175    -0.0555149
     0.619048    -0.0752918
     0.634921    -0.0953513
     0.650794     -0.115507
     0.666667     -0.135537
      0.68254     -0.155109
     0.698413     -0.173937
     0.714286     -0.191678
     0.730159     -0.207955
     0.746032     -0.222362
     0.761905     -0.234475
     0.777778     -0.243862
     0.793651     -0.249709
     0.809524     -0.251953
     0.825397     -0.250278
      0.84127     -0.244458
     0.857143     -0.234379
     0.873016     -0.220057
     0.888889     -0.201652
     0.904762     -0.179104
     0.920635     -0.153349
     0.936508     -0.124991
     0.952381    -0.0947245
     0.968254    -0.0632928
     0.984127    -0.0314608
            1             0
