#    distance            Ux
  1.38778e-17             0
     0.015873   -0.00799398
     0.031746     -0.015988
     0.047619    -0.0239819
    0.0634921    -0.0306606
    0.0793651    -0.0371073
    0.0952381    -0.0435539
     0.111111    -0.0494586
     0.126984    -0.0551311
     0.142857    -0.0608036
      0.15873    -0.0663448
     0.174603    -0.0717784
     0.190476    -0.0772121
     0.206349    -0.0826921
     0.222222    -0.0882415
     0.238095    -0.0937909
     0.253968    -0.0994103
     0.269841      -0.10524
     0.285714     -0.111069
     0.301587     -0.116919
      0.31746     -0.122949
     0.333333     -0.128979
     0.349206     -0.135009
     0.365079     -0.140865
     0.380952     -0.146713
     0.396825      -0.15256
     0.412698     -0.157684
     0.428571     -0.162628
     0.444444     -0.167571
     0.460317     -0.171264
      0.47619     -0.174283
     0.492063     -0.177302
     0.507937     -0.178771
      0.52381     -0.178691
     0.539683     -0.178612
     0.555556     -0.177069
     0.571429      -0.17281
     0.587302     -0.168551
     0.603175     -0.163309
     0.619048     -0.154133
     0.634921     -0.144958
     0.650794     -0.135519
     0.666667     -0.121071
      0.68254     -0.106624
     0.698413    -0.0921769
     0.714286     -0.072612
     0.730159    -0.0524785
     0.746032     -0.032345
     0.761905   -0.00670516
     0.777778     0.0207702
     0.793651     0.0482455
     0.809524     0.0828737
     0.825397       0.12227
      0.84127      0.161667
     0.857143      0.210134
     0.873016      0.269688
     0.888889      0.329242
     0.904762      0.397309
     0.920635      0.485241
     0.936508      0.573173
     0.952381      0.664682
     0.968254      0.776454
     0.984127      0.888227
            1             1
