#    distance            Ux
  1.54198e-18  -1.13706e-18
     0.015873    -0.0116194
     0.031746    -0.0224967
     0.047619    -0.0327575
    0.0634921    -0.0425075
    0.0793651    -0.0518391
    0.0952381     -0.060834
     0.111111    -0.0695637
     0.126984    -0.0780737
     0.142857    -0.0864425
      0.15873    -0.0947115
     0.174603     -0.102914
     0.190476     -0.111072
     0.206349     -0.119201
     0.222222     -0.127304
     0.238095     -0.135371
     0.253968     -0.143383
     0.269841     -0.151309
     0.285714     -0.159107
     0.301587     -0.166722
      0.31746     -0.174089
     0.333333     -0.181131
     0.349206     -0.187704
     0.365079     -0.193748
     0.380952     -0.199157
     0.396825      -0.20382
     0.412698     -0.207623
     0.428571     -0.210452
     0.444444     -0.212196
     0.460317     -0.212605
      0.47619     -0.211708
     0.492063     -0.209423
     0.507937     -0.205684
      0.52381     -0.200442
     0.539683     -0.193667
     0.555556     -0.185348
     0.571429     -0.175327
     0.587302      -0.16381
     0.603175     -0.150846
     0.619048     -0.136498
     0.634921     -0.120838
     0.650794      -0.10394
     0.666667    -0.0858789
      0.68254    -0.0665985
     0.698413    -0.0462638
     0.714286    -0.0248786
     0.730159   -0.00240142
     0.746032     0.0212693
     0.761905     0.0463111
     0.777778      0.072996
     0.793651      0.101992
     0.809524      0.133664
     0.825397      0.168715
      0.84127      0.207997
     0.857143      0.252495
     0.873016      0.303287
     0.888889      0.361469
     0.904762      0.429056
     0.920635      0.505831
     0.936508      0.591885
     0.952381      0.686541
     0.968254      0.788143
     0.984127      0.893921
            1             1
