#    distance            Ux
  1.54198e-18  -1.13671e-18
     0.015873    -0.0116158
     0.031746    -0.0224896
     0.047619     -0.032747
    0.0634921    -0.0424937
    0.0793651    -0.0518221
    0.0952381    -0.0608139
     0.111111    -0.0695406
     0.126984    -0.0780478
     0.142857    -0.0864139
      0.15873    -0.0946804
     0.174603      -0.10288
     0.190476     -0.111036
     0.206349     -0.119163
     0.222222     -0.127265
     0.238095      -0.13533
     0.253968     -0.143341
     0.269841     -0.151266
     0.285714     -0.159064
     0.301587     -0.166679
      0.31746     -0.174047
     0.333333     -0.181089
     0.349206     -0.187664
     0.365079     -0.193709
     0.380952      -0.19912
     0.396825     -0.203786
     0.412698     -0.207592
     0.428571     -0.210425
     0.444444     -0.212172
     0.460317     -0.212585
      0.47619     -0.211693
     0.492063     -0.209413
     0.507937     -0.205679
      0.52381     -0.200443
     0.539683     -0.193672
     0.555556     -0.185358
     0.571429     -0.175342
     0.587302      -0.16383
     0.603175      -0.15087
     0.619048     -0.136526
     0.634921     -0.120869
     0.650794     -0.103975
     0.666667     -0.085916
      0.68254    -0.0666379
     0.698413    -0.0463051
     0.714286    -0.0249214
     0.730159   -0.00244526
     0.746032     0.0212247
     0.761905     0.0462662
     0.777778     0.0729511
     0.793651      0.101947
     0.809524       0.13362
     0.825397      0.168672
      0.84127      0.207956
     0.857143      0.252456
     0.873016       0.30325
     0.888889      0.361435
     0.904762      0.429025
     0.920635      0.505804
     0.936508      0.591862
     0.952381      0.686523
     0.968254      0.788131
     0.984127      0.893914
            1             1
