#    distance            Uy
            0   2.76416e-18
     0.015873     0.0281202
     0.031746     0.0532583
     0.047619     0.0755359
    0.0634921     0.0950991
    0.0793651      0.112112
    0.0952381      0.126751
     0.111111      0.139196
     0.126984      0.149425
     0.142857      0.157849
      0.15873      0.164631
     0.174603      0.169921
     0.190476      0.173855
     0.206349       0.17655
     0.222222       0.17811
     0.238095      0.178511
     0.253968      0.177945
     0.269841      0.176461
     0.285714      0.174099
     0.301587      0.170884
      0.31746      0.166834
     0.333333      0.161956
     0.349206      0.156158
     0.365079      0.149525
     0.380952      0.142046
     0.396825       0.13371
     0.412698      0.124503
     0.428571       0.11441
     0.444444      0.103419
     0.460317     0.0914179
      0.47619     0.0785031
     0.492063     0.0646752
     0.507937     0.0499425
      0.52381     0.0343226
     0.539683     0.0178437
     0.555556   0.000547376
     0.571429    -0.0175857
     0.587302    -0.0363853
     0.603175    -0.0557491
     0.619048    -0.0755498
     0.634921    -0.0956319
     0.650794     -0.115809
     0.666667     -0.135859
      0.68254      -0.15545
     0.698413     -0.174296
     0.714286     -0.192053
     0.730159     -0.208344
     0.746032     -0.222763
     0.761905     -0.234885
     0.777778     -0.244279
     0.793651     -0.250128
     0.809524     -0.252369
     0.825397     -0.250687
      0.84127     -0.244856
     0.857143     -0.234759
     0.873016     -0.220412
     0.888889     -0.201977
     0.904762     -0.179393
     0.920635     -0.153597
     0.936508     -0.125194
     0.952381    -0.0948791
     0.968254    -0.0633968
     0.984127    -0.0315129
            1             0
