#    distance            Ux
  1.54198e-18  -1.13733e-18
     0.015873    -0.0116222
     0.031746    -0.0225022
     0.047619    -0.0327656
    0.0634921    -0.0425182
    0.0793651    -0.0518522
    0.0952381    -0.0608495
     0.111111    -0.0695815
     0.126984    -0.0780937
     0.142857    -0.0864645
      0.15873    -0.0947355
     0.174603     -0.102939
     0.190476     -0.111099
     0.206349      -0.11923
     0.222222     -0.127335
     0.238095     -0.135402
     0.253968     -0.143415
     0.269841     -0.151342
     0.285714      -0.15914
     0.301587     -0.166755
      0.31746     -0.174122
     0.333333     -0.181163
     0.349206     -0.187735
     0.365079     -0.193778
     0.380952     -0.199185
     0.396825     -0.203846
     0.412698     -0.207646
     0.428571     -0.210473
     0.444444     -0.212214
     0.460317     -0.212619
      0.47619     -0.211719
     0.492063     -0.209431
     0.507937     -0.205688
      0.52381     -0.200442
     0.539683     -0.193663
     0.555556      -0.18534
     0.571429     -0.175316
     0.587302     -0.163796
     0.603175     -0.150828
     0.619048     -0.136477
     0.634921     -0.120814
     0.650794     -0.103914
     0.666667    -0.0858505
      0.68254    -0.0665683
     0.698413    -0.0462322
     0.714286    -0.0248458
     0.730159   -0.00236776
     0.746032     0.0213035
     0.761905     0.0463456
     0.777778     0.0730305
     0.793651      0.102026
     0.809524      0.133697
     0.825397      0.168748
      0.84127      0.208028
     0.857143      0.252525
     0.873016      0.303315
     0.888889      0.361495
     0.904762      0.429079
     0.920635      0.505851
     0.936508      0.591902
     0.952381      0.686554
     0.968254      0.788152
     0.984127      0.893926
            1             1
