#    distance            Ux
  1.54198e-18  -1.13723e-18
     0.015873    -0.0116211
     0.031746    -0.0225001
     0.047619    -0.0327625
    0.0634921    -0.0425141
    0.0793651    -0.0518472
    0.0952381    -0.0608435
     0.111111    -0.0695747
     0.126984     -0.078086
     0.142857     -0.086456
      0.15873    -0.0947263
     0.174603     -0.102929
     0.190476     -0.111089
     0.206349     -0.119219
     0.222222     -0.127323
     0.238095      -0.13539
     0.253968     -0.143402
     0.269841     -0.151329
     0.285714     -0.159127
     0.301587     -0.166743
      0.31746      -0.17411
     0.333333     -0.181151
     0.349206     -0.187723
     0.365079     -0.193766
     0.380952     -0.199174
     0.396825     -0.203836
     0.412698     -0.207637
     0.428571     -0.210465
     0.444444     -0.212207
     0.460317     -0.212614
      0.47619     -0.211714
     0.492063     -0.209428
     0.507937     -0.205687
      0.52381     -0.200442
     0.539683     -0.193665
     0.555556     -0.185343
     0.571429      -0.17532
     0.587302     -0.163801
     0.603175     -0.150835
     0.619048     -0.136485
     0.634921     -0.120823
     0.650794     -0.103924
     0.666667    -0.0858614
      0.68254      -0.06658
     0.698413    -0.0462444
     0.714286    -0.0248585
     0.730159    -0.0023807
     0.746032     0.0212903
     0.761905     0.0463323
     0.777778     0.0730172
     0.793651      0.102013
     0.809524      0.133684
     0.825397      0.168735
      0.84127      0.208016
     0.857143      0.252513
     0.873016      0.303304
     0.888889      0.361485
     0.904762       0.42907
     0.920635      0.505843
     0.936508      0.591895
     0.952381      0.686549
     0.968254      0.788149
     0.984127      0.893924
            1             1
