#    distance            Uy
            0   2.75897e-18
     0.015873     0.0280675
     0.031746      0.053159
     0.047619      0.075396
    0.0634921     0.0949245
    0.0793651      0.111908
    0.0952381      0.126523
     0.111111       0.13895
     0.126984      0.149164
     0.142857      0.157578
      0.15873      0.164354
     0.174603      0.169642
     0.190476      0.173575
     0.206349      0.176274
     0.222222      0.177839
     0.238095      0.178248
     0.253968      0.177691
     0.269841      0.176219
     0.285714       0.17387
     0.301587       0.17067
      0.31746      0.166636
     0.333333      0.161775
     0.349206      0.155995
     0.365079      0.149381
     0.380952      0.141923
     0.396825      0.133607
     0.412698       0.12442
     0.428571      0.114348
     0.444444      0.103377
     0.460317     0.0913972
      0.47619     0.0785029
     0.492063      0.064695
     0.507937      0.049982
      0.52381     0.0343811
     0.539683     0.0179207
     0.555556    0.00064212
     0.571429     -0.017474
     0.587302    -0.0362573
     0.603175    -0.0556056
     0.619048    -0.0753915
     0.634921    -0.0954595
     0.650794     -0.115623
     0.666667     -0.135661
      0.68254      -0.15524
     0.698413     -0.174075
     0.714286     -0.191821
     0.730159     -0.208103
     0.746032     -0.222515
     0.761905     -0.234631
     0.777778      -0.24402
     0.793651     -0.249868
     0.809524      -0.25211
     0.825397     -0.250433
      0.84127     -0.244608
     0.857143     -0.234522
     0.873016     -0.220191
     0.888889     -0.201774
     0.904762     -0.179213
     0.920635     -0.153442
     0.936508     -0.125068
     0.952381    -0.0947832
     0.968254    -0.0633324
     0.984127    -0.0314808
            1             0
