#    distance            Ux
  1.54198e-18  -1.13675e-18
     0.015873    -0.0116162
     0.031746    -0.0224904
     0.047619    -0.0327482
    0.0634921    -0.0424952
    0.0793651     -0.051824
    0.0952381    -0.0608161
     0.111111    -0.0695432
     0.126984    -0.0780507
     0.142857    -0.0864171
      0.15873    -0.0946839
     0.174603     -0.102884
     0.190476      -0.11104
     0.206349     -0.119168
     0.222222      -0.12727
     0.238095     -0.135335
     0.253968     -0.143346
     0.269841     -0.151271
     0.285714     -0.159069
     0.301587     -0.166684
      0.31746     -0.174052
     0.333333     -0.181094
     0.349206     -0.187668
     0.365079     -0.193714
     0.380952     -0.199124
     0.396825      -0.20379
     0.412698     -0.207595
     0.428571     -0.210428
     0.444444     -0.212175
     0.460317     -0.212588
      0.47619     -0.211695
     0.492063     -0.209414
     0.507937      -0.20568
      0.52381     -0.200443
     0.539683     -0.193672
     0.555556     -0.185357
     0.571429     -0.175341
     0.587302     -0.163828
     0.603175     -0.150867
     0.619048     -0.136523
     0.634921     -0.120865
     0.650794     -0.103971
     0.666667    -0.0859118
      0.68254    -0.0666335
     0.698413    -0.0463004
     0.714286    -0.0249166
     0.730159   -0.00244031
     0.746032     0.0212297
     0.761905     0.0462712
     0.777778     0.0729562
     0.793651      0.101952
     0.809524      0.133625
     0.825397      0.168677
      0.84127      0.207961
     0.857143       0.25246
     0.873016      0.303254
     0.888889      0.361439
     0.904762      0.429029
     0.920635      0.505807
     0.936508      0.591865
     0.952381      0.686525
     0.968254      0.788132
     0.984127      0.893915
            1             1
