#    distance            Ux
  1.38778e-17             0
     0.015873   -0.00561109
     0.031746    -0.0112222
     0.047619    -0.0168333
    0.0634921    -0.0208633
    0.0793651    -0.0246143
    0.0952381    -0.0283653
     0.111111    -0.0313105
     0.126984    -0.0339102
     0.142857      -0.03651
      0.15873    -0.0388078
     0.174603    -0.0408586
     0.190476    -0.0429094
     0.206349    -0.0449226
     0.222222    -0.0468793
     0.238095     -0.048836
     0.253968    -0.0508468
     0.269841    -0.0530198
     0.285714    -0.0551928
     0.301587    -0.0574069
      0.31746    -0.0599911
     0.333333    -0.0625754
     0.349206    -0.0651597
     0.365079    -0.0682431
     0.380952    -0.0713527
     0.396825    -0.0744623
     0.412698     -0.078031
     0.428571    -0.0817143
     0.444444    -0.0853977
     0.460317    -0.0894322
      0.47619    -0.0936556
     0.492063     -0.097879
     0.507937     -0.102282
      0.52381     -0.106865
     0.539683     -0.111448
     0.555556     -0.115993
     0.571429      -0.12047
     0.587302     -0.124946
     0.603175     -0.129201
     0.619048     -0.132572
     0.634921     -0.135942
     0.650794     -0.139162
     0.666667     -0.139511
      0.68254     -0.139859
     0.698413     -0.140208
     0.714286     -0.134813
     0.730159      -0.12878
     0.746032     -0.122747
     0.761905     -0.107899
     0.777778    -0.0901116
     0.793651    -0.0723244
     0.809524    -0.0428708
     0.825397   -0.00563957
      0.84127     0.0315917
     0.857143     0.0817362
     0.873016      0.147664
     0.888889      0.213591
     0.904762      0.290267
     0.920635      0.392025
     0.936508      0.493782
     0.952381      0.600263
     0.968254      0.733509
     0.984127      0.866754
            1             1
