#    distance            Uy
            0   2.76237e-18
     0.015873      0.028102
     0.031746      0.053224
     0.047619     0.0754876
    0.0634921     0.0950386
    0.0793651      0.112041
    0.0952381      0.126671
     0.111111       0.13911
     0.126984      0.149333
     0.142857      0.157753
      0.15873      0.164533
     0.174603      0.169822
     0.190476      0.173755
     0.206349      0.176451
     0.222222      0.178013
     0.238095      0.178417
     0.253968      0.177854
     0.269841      0.176374
     0.285714      0.174016
     0.301587      0.170807
      0.31746      0.166763
     0.333333      0.161891
     0.349206        0.1561
     0.365079      0.149474
     0.380952      0.142003
     0.396825      0.133674
     0.412698      0.124474
     0.428571      0.114389
     0.444444      0.103405
     0.460317     0.0914119
      0.47619     0.0785045
     0.492063     0.0646838
     0.507937     0.0499582
      0.52381     0.0343451
     0.539683     0.0178728
     0.555556   0.000582777
     0.571429    -0.0175443
     0.587302    -0.0363382
     0.603175    -0.0556966
     0.619048    -0.0754921
     0.634921    -0.0955694
     0.650794     -0.115742
     0.666667     -0.135788
      0.68254     -0.155375
     0.698413     -0.174217
     0.714286      -0.19197
     0.730159     -0.208258
     0.746032     -0.222675
     0.761905     -0.234796
     0.777778     -0.244188
     0.793651     -0.250037
     0.809524     -0.252279
     0.825397     -0.250599
      0.84127      -0.24477
     0.857143     -0.234677
     0.873016     -0.220336
     0.888889     -0.201908
     0.904762     -0.179332
     0.920635     -0.153544
     0.936508     -0.125152
     0.952381    -0.0948467
     0.968254    -0.0633751
     0.984127    -0.0315021
            1             0
