#    distance            Uy
  5.42101e-18   1.08904e-17
     0.015873     0.0155702
     0.031746     0.0311404
     0.047619     0.0467105
    0.0634921     0.0577432
    0.0793651     0.0679751
    0.0952381      0.078207
     0.111111     0.0853471
     0.126984     0.0911621
     0.142857     0.0969771
      0.15873      0.100976
     0.174603       0.10349
     0.190476      0.106004
     0.206349      0.107585
     0.222222      0.107765
     0.238095      0.107946
     0.253968      0.107711
     0.269841      0.106228
     0.285714      0.104745
     0.301587      0.103131
      0.31746      0.100337
     0.333333     0.0975428
     0.349206     0.0947489
     0.365079     0.0907827
     0.380952     0.0867548
     0.396825     0.0827268
     0.412698     0.0776075
     0.428571     0.0722154
     0.444444     0.0668233
     0.460317     0.0603839
      0.47619     0.0533806
     0.492063     0.0463772
     0.507937     0.0384464
      0.52381     0.0295881
     0.539683     0.0207299
     0.555556     0.0111967
     0.571429   0.000410107
     0.587302    -0.0103765
     0.603175    -0.0214847
     0.619048    -0.0338798
     0.634921    -0.0462749
     0.650794    -0.0587017
     0.666667    -0.0717311
      0.68254    -0.0847604
     0.698413    -0.0977898
     0.714286     -0.109715
     0.730159     -0.121517
     0.746032      -0.13332
     0.761905     -0.142111
     0.777778     -0.149899
     0.793651     -0.157687
     0.809524     -0.161096
     0.825397     -0.161587
      0.84127     -0.162078
     0.857143     -0.158156
     0.873016     -0.148841
     0.888889     -0.139526
     0.904762     -0.127392
     0.920635     -0.108677
     0.936508    -0.0899632
     0.952381    -0.0705296
     0.968254    -0.0470198
     0.984127    -0.0235099
            1             0
