#    distance            Ux
  1.54198e-18   -1.0804e-18
     0.015873    -0.0110378
     0.031746    -0.0213482
     0.047619    -0.0310561
    0.0634921    -0.0402678
    0.0793651    -0.0490764
    0.0952381    -0.0575644
     0.111111    -0.0658048
     0.126984    -0.0738471
     0.142857    -0.0817698
      0.15873    -0.0896171
     0.174603    -0.0974245
     0.190476     -0.105219
     0.206349     -0.113017
     0.222222     -0.120827
     0.238095     -0.128648
     0.253968     -0.136462
     0.269841     -0.144242
     0.285714     -0.151951
     0.301587      -0.15954
      0.31746     -0.166946
     0.333333     -0.174099
     0.349206     -0.180865
     0.365079      -0.18718
     0.380952     -0.192939
     0.396825     -0.198032
     0.412698     -0.202341
     0.428571     -0.205752
     0.444444     -0.208146
     0.460317     -0.209273
      0.47619     -0.209147
     0.492063     -0.207674
     0.507937     -0.204777
      0.52381     -0.200393
     0.539683     -0.194478
     0.555556     -0.187011
     0.571429     -0.177814
     0.587302     -0.167084
     0.603175     -0.154859
     0.619048     -0.141193
     0.634921     -0.126149
     0.650794       -0.1098
     0.666667    -0.0922127
      0.68254    -0.0733237
     0.698413    -0.0533054
     0.714286    -0.0321629
     0.730159   -0.00985656
     0.746032      0.013713
     0.761905     0.0387212
     0.777778     0.0654383
     0.793651      0.094538
     0.809524      0.126378
     0.825397      0.161661
      0.84127       0.20124
     0.857143      0.246099
     0.873016      0.297318
     0.888889      0.355991
     0.904762      0.424142
     0.920635      0.501547
     0.936508      0.588301
     0.952381      0.683732
     0.968254      0.786191
     0.984127      0.892909
            1             1
