#    distance            Uy
            0   2.76263e-18
     0.015873     0.0281047
     0.031746      0.053229
     0.047619     0.0754946
    0.0634921     0.0950474
    0.0793651      0.112052
    0.0952381      0.126683
     0.111111      0.139122
     0.126984      0.149346
     0.142857      0.157767
      0.15873      0.164547
     0.174603      0.169836
     0.190476       0.17377
     0.206349      0.176466
     0.222222      0.178027
     0.238095      0.178431
     0.253968      0.177867
     0.269841      0.176387
     0.285714      0.174028
     0.301587      0.170819
      0.31746      0.166774
     0.333333      0.161901
     0.349206      0.156108
     0.365079      0.149481
     0.380952      0.142009
     0.396825       0.13368
     0.412698      0.124478
     0.428571      0.114392
     0.444444      0.103407
     0.460317     0.0914129
      0.47619     0.0785044
     0.492063     0.0646826
     0.507937     0.0499559
      0.52381     0.0343418
     0.539683     0.0178685
     0.555556   0.000577581
     0.571429    -0.0175504
     0.587302    -0.0363451
     0.603175    -0.0557043
     0.619048    -0.0755006
     0.634921    -0.0955786
     0.650794     -0.115751
     0.666667     -0.135798
      0.68254     -0.155386
     0.698413     -0.174228
     0.714286     -0.191982
     0.730159     -0.208271
     0.746032     -0.222688
     0.761905     -0.234809
     0.777778     -0.244201
     0.793651     -0.250051
     0.809524     -0.252292
     0.825397     -0.250612
      0.84127     -0.244783
     0.857143     -0.234689
     0.873016     -0.220348
     0.888889     -0.201918
     0.904762     -0.179341
     0.920635     -0.153552
     0.936508     -0.125158
     0.952381    -0.0948515
     0.968254    -0.0633783
     0.984127    -0.0315037
            1             0
