#    distance            Ux
  1.54198e-18  -1.13662e-18
     0.015873     -0.011615
     0.031746    -0.0224879
     0.047619    -0.0327445
    0.0634921    -0.0424904
    0.0793651    -0.0518181
    0.0952381    -0.0608091
     0.111111    -0.0695352
     0.126984    -0.0780417
     0.142857    -0.0864071
      0.15873     -0.094673
     0.174603     -0.102872
     0.190476     -0.111028
     0.206349     -0.119154
     0.222222     -0.127256
     0.238095      -0.13532
     0.253968     -0.143331
     0.269841     -0.151256
     0.285714     -0.159054
     0.301587     -0.166669
      0.31746     -0.174036
     0.333333     -0.181079
     0.349206     -0.187654
     0.365079       -0.1937
     0.380952     -0.199111
     0.396825     -0.203777
     0.412698     -0.207584
     0.428571     -0.210418
     0.444444     -0.212166
     0.460317     -0.212581
      0.47619     -0.211689
     0.492063     -0.209411
     0.507937     -0.205678
      0.52381     -0.200443
     0.539683     -0.193674
     0.555556     -0.185361
     0.571429     -0.175346
     0.587302     -0.163835
     0.603175     -0.150876
     0.619048     -0.136533
     0.634921     -0.120877
     0.650794     -0.103983
     0.666667     -0.085925
      0.68254    -0.0666475
     0.698413    -0.0463151
     0.714286    -0.0249318
     0.730159   -0.00245587
     0.746032     0.0212139
     0.761905     0.0462553
     0.777778     0.0729403
     0.793651      0.101936
     0.809524       0.13361
     0.825397      0.168662
      0.84127      0.207946
     0.857143      0.252446
     0.873016      0.303241
     0.888889      0.361427
     0.904762      0.429018
     0.920635      0.505797
     0.936508      0.591857
     0.952381      0.686519
     0.968254      0.788128
     0.984127      0.893913
            1             1
