#    distance            Ux
  1.54198e-18  -1.13719e-18
     0.015873    -0.0116208
     0.031746    -0.0224994
     0.047619    -0.0327614
    0.0634921    -0.0425126
    0.0793651    -0.0518454
    0.0952381    -0.0608414
     0.111111    -0.0695723
     0.126984    -0.0780834
     0.142857    -0.0864531
      0.15873    -0.0947231
     0.174603     -0.102926
     0.190476     -0.111085
     0.206349     -0.119215
     0.222222     -0.127319
     0.238095     -0.135386
     0.253968     -0.143398
     0.269841     -0.151325
     0.285714     -0.159123
     0.301587     -0.166738
      0.31746     -0.174105
     0.333333     -0.181147
     0.349206     -0.187719
     0.365079     -0.193762
     0.380952      -0.19917
     0.396825     -0.203832
     0.412698     -0.207634
     0.428571     -0.210462
     0.444444     -0.212204
     0.460317     -0.212612
      0.47619     -0.211713
     0.492063     -0.209427
     0.507937     -0.205686
      0.52381     -0.200442
     0.539683     -0.193665
     0.555556     -0.185344
     0.571429     -0.175322
     0.587302     -0.163803
     0.603175     -0.150838
     0.619048     -0.136488
     0.634921     -0.120826
     0.650794     -0.103928
     0.666667    -0.0858652
      0.68254     -0.066584
     0.698413    -0.0462486
     0.714286    -0.0248629
     0.730159   -0.00238521
     0.746032     0.0212857
     0.761905     0.0463277
     0.777778     0.0730126
     0.793651      0.102008
     0.809524       0.13368
     0.825397      0.168731
      0.84127      0.208012
     0.857143      0.252509
     0.873016        0.3033
     0.888889      0.361482
     0.904762      0.429067
     0.920635       0.50584
     0.936508      0.591893
     0.952381      0.686547
     0.968254      0.788147
     0.984127      0.893923
            1             1
