#    distance            Uy
            0   2.76071e-18
     0.015873     0.0280852
     0.031746     0.0531922
     0.047619     0.0754427
    0.0634921     0.0949825
    0.0793651      0.111976
    0.0952381      0.126598
     0.111111       0.13903
     0.126984      0.149249
     0.142857      0.157665
      0.15873      0.164443
     0.174603      0.169731
     0.190476      0.173664
     0.206349      0.176361
     0.222222      0.177924
     0.238095      0.178331
     0.253968       0.17777
     0.269841      0.176294
     0.285714      0.173941
     0.301587      0.170737
      0.31746      0.166698
     0.333333      0.161831
     0.349206      0.156046
     0.365079      0.149426
     0.380952      0.141961
     0.396825      0.133639
     0.412698      0.124446
     0.428571      0.114368
     0.444444      0.103391
     0.460317     0.0914047
      0.47619     0.0785042
     0.492063     0.0646902
     0.507937     0.0499712
      0.52381     0.0343645
     0.539683     0.0178984
     0.555556   0.000614326
     0.571429    -0.0175071
     0.587302    -0.0362955
     0.603175    -0.0556487
     0.619048    -0.0754394
     0.634921     -0.095512
     0.650794      -0.11568
     0.666667     -0.135722
      0.68254     -0.155305
     0.698413     -0.174143
     0.714286     -0.191894
     0.730159     -0.208179
     0.746032     -0.222594
     0.761905     -0.234712
     0.777778     -0.244103
     0.793651     -0.249952
     0.809524     -0.252195
     0.825397     -0.250516
      0.84127      -0.24469
     0.857143     -0.234601
     0.873016     -0.220265
     0.888889     -0.201843
     0.904762     -0.179274
     0.920635     -0.153495
     0.936508     -0.125111
     0.952381    -0.0948163
     0.968254    -0.0633547
     0.984127    -0.0314919
            1             0
