#    distance            Uy
            0   2.76185e-18
     0.015873     0.0280967
     0.031746     0.0532141
     0.047619     0.0754735
    0.0634921     0.0950209
    0.0793651      0.112021
    0.0952381      0.126648
     0.111111      0.139085
     0.126984      0.149306
     0.142857      0.157725
      0.15873      0.164504
     0.174603      0.169793
     0.190476      0.173726
     0.206349      0.176423
     0.222222      0.177985
     0.238095      0.178389
     0.253968      0.177827
     0.269841      0.176348
     0.285714      0.173992
     0.301587      0.170785
      0.31746      0.166742
     0.333333      0.161872
     0.349206      0.156082
     0.365079      0.149458
     0.380952       0.14199
     0.396825      0.133663
     0.412698      0.124465
     0.428571      0.114382
     0.444444      0.103401
     0.460317     0.0914098
      0.47619     0.0785046
     0.492063     0.0646861
     0.507937     0.0499626
      0.52381     0.0343515
     0.539683     0.0178812
     0.555556   0.000593086
     0.571429    -0.0175322
     0.587302    -0.0363244
     0.603175    -0.0556812
     0.619048    -0.0754752
     0.634921     -0.095551
     0.650794     -0.115722
     0.666667     -0.135767
      0.68254     -0.155353
     0.698413     -0.174193
     0.714286     -0.191946
     0.730159     -0.208233
     0.746032     -0.222649
     0.761905     -0.234769
     0.777778     -0.244161
     0.793651     -0.250011
     0.809524     -0.252253
     0.825397     -0.250573
      0.84127     -0.244745
     0.857143     -0.234653
     0.873016     -0.220314
     0.888889     -0.201888
     0.904762     -0.179313
     0.920635     -0.153529
     0.936508     -0.125139
     0.952381    -0.0948372
     0.968254    -0.0633687
     0.984127    -0.0314989
            1             0
