#    distance            Ux
  1.54198e-18  -1.13751e-18
     0.015873    -0.0116241
     0.031746     -0.022506
     0.047619    -0.0327712
    0.0634921    -0.0425255
    0.0793651    -0.0518612
    0.0952381    -0.0608601
     0.111111    -0.0695937
     0.126984    -0.0781074
     0.142857    -0.0864795
      0.15873    -0.0947519
     0.174603     -0.102957
     0.190476     -0.111118
     0.206349      -0.11925
     0.222222     -0.127355
     0.238095     -0.135423
     0.253968     -0.143437
     0.269841     -0.151364
     0.285714     -0.159163
     0.301587     -0.166778
      0.31746     -0.174144
     0.333333     -0.181185
     0.349206     -0.187757
     0.365079     -0.193798
     0.380952     -0.199204
     0.396825     -0.203864
     0.412698     -0.207663
     0.428571     -0.210487
     0.444444     -0.212226
     0.460317     -0.212629
      0.47619     -0.211727
     0.492063     -0.209436
     0.507937     -0.205691
      0.52381     -0.200442
     0.539683      -0.19366
     0.555556     -0.185335
     0.571429     -0.175308
     0.587302     -0.163785
     0.603175     -0.150816
     0.619048     -0.136463
     0.634921     -0.120798
     0.650794     -0.103896
     0.666667    -0.0858309
      0.68254    -0.0665476
     0.698413    -0.0462104
     0.714286    -0.0248232
     0.730159   -0.00234459
     0.746032      0.021327
     0.761905     0.0463693
     0.777778     0.0730542
     0.793651      0.102049
     0.809524       0.13372
     0.825397       0.16877
      0.84127       0.20805
     0.857143      0.252545
     0.873016      0.303334
     0.888889      0.361513
     0.904762      0.429095
     0.920635      0.505865
     0.936508      0.591914
     0.952381      0.686563
     0.968254      0.788159
     0.984127      0.893929
            1             1
