#    distance            Uy
            0   1.93362e-18
     0.015873     0.0196776
     0.031746     0.0373221
     0.047619     0.0529898
    0.0634921     0.0667623
    0.0793651     0.0787394
    0.0952381     0.0890333
     0.111111     0.0977644
     0.126984      0.104911
     0.142857      0.110769
      0.15873      0.115458
     0.174603      0.119093
     0.190476      0.121781
     0.206349      0.123616
     0.222222      0.124687
     0.238095      0.124998
     0.253968      0.124692
     0.269841      0.123817
     0.285714      0.122411
     0.301587      0.120499
      0.31746      0.118098
     0.333333      0.115214
     0.349206      0.111787
     0.365079      0.107859
     0.380952      0.103411
     0.396825     0.0984168
     0.412698     0.0928464
     0.428571     0.0866669
     0.444444     0.0798431
     0.460317     0.0722604
      0.47619     0.0639578
     0.492063     0.0549055
     0.507937     0.0450797
      0.52381     0.0344646
     0.539683     0.0230548
     0.555556     0.0108579
     0.571429   -0.00218308
     0.587302    -0.0159334
     0.603175    -0.0303232
     0.619048    -0.0452576
     0.634921    -0.0606139
     0.650794    -0.0762393
     0.666667    -0.0919491
      0.68254     -0.107483
     0.698413     -0.122577
     0.714286     -0.136942
     0.730159     -0.150259
     0.746032     -0.162193
     0.761905     -0.172392
     0.777778     -0.180505
     0.793651     -0.185889
     0.809524     -0.188481
     0.825397     -0.188034
      0.84127     -0.184368
     0.857143     -0.177389
     0.873016     -0.167102
     0.888889     -0.153618
     0.904762     -0.136868
     0.920635     -0.117556
     0.936508    -0.0961249
     0.952381    -0.0730854
     0.968254    -0.0489918
     0.984127    -0.0244266
            1             0
