#    distance            Uy
            0    2.7638e-18
     0.015873     0.0281165
     0.031746     0.0532514
     0.047619     0.0755261
    0.0634921     0.0950869
    0.0793651      0.112098
    0.0952381      0.126735
     0.111111      0.139179
     0.126984      0.149406
     0.142857      0.157829
      0.15873      0.164611
     0.174603      0.169901
     0.190476      0.173835
     0.206349       0.17653
     0.222222      0.178091
     0.238095      0.178493
     0.253968      0.177926
     0.269841      0.176444
     0.285714      0.174082
     0.301587      0.170869
      0.31746       0.16682
     0.333333      0.161943
     0.349206      0.156146
     0.365079      0.149515
     0.380952      0.142038
     0.396825      0.133703
     0.412698      0.124497
     0.428571      0.114406
     0.444444      0.103416
     0.460317     0.0914168
      0.47619     0.0785034
     0.492063     0.0646769
     0.507937     0.0499457
      0.52381     0.0343271
     0.539683     0.0178495
     0.555556   0.000554442
     0.571429    -0.0175775
     0.587302    -0.0363759
     0.603175    -0.0557386
     0.619048    -0.0755383
     0.634921    -0.0956194
     0.650794     -0.115795
     0.666667     -0.135845
      0.68254     -0.155435
     0.698413      -0.17428
     0.714286     -0.192036
     0.730159     -0.208327
     0.746032     -0.222745
     0.761905     -0.234867
     0.777778      -0.24426
     0.793651      -0.25011
     0.809524     -0.252351
     0.825397      -0.25067
      0.84127     -0.244839
     0.857143     -0.234742
     0.873016     -0.220397
     0.888889     -0.201963
     0.904762     -0.179381
     0.920635     -0.153586
     0.936508     -0.125186
     0.952381    -0.0948726
     0.968254    -0.0633924
     0.984127    -0.0315107
            1             0
