#    distance            Ux
  1.54198e-18  -1.13753e-18
     0.015873    -0.0116242
     0.031746    -0.0225062
     0.047619    -0.0327715
    0.0634921    -0.0425259
    0.0793651    -0.0518618
    0.0952381    -0.0608608
     0.111111    -0.0695945
     0.126984    -0.0781082
     0.142857    -0.0864805
      0.15873    -0.0947529
     0.174603     -0.102958
     0.190476     -0.111119
     0.206349     -0.119251
     0.222222     -0.127356
     0.238095     -0.135425
     0.253968     -0.143438
     0.269841     -0.151365
     0.285714     -0.159164
     0.301587     -0.166779
      0.31746     -0.174146
     0.333333     -0.181187
     0.349206     -0.187758
     0.365079       -0.1938
     0.380952     -0.199205
     0.396825     -0.203865
     0.412698     -0.207664
     0.428571     -0.210488
     0.444444     -0.212227
     0.460317      -0.21263
      0.47619     -0.211727
     0.492063     -0.209436
     0.507937     -0.205691
      0.52381     -0.200442
     0.539683      -0.19366
     0.555556     -0.185335
     0.571429     -0.175308
     0.587302     -0.163785
     0.603175     -0.150815
     0.619048     -0.136462
     0.634921     -0.120796
     0.650794     -0.103895
     0.666667    -0.0858296
      0.68254    -0.0665462
     0.698413     -0.046209
     0.714286    -0.0248218
     0.730159   -0.00234309
     0.746032     0.0213285
     0.761905     0.0463708
     0.777778     0.0730557
     0.793651      0.102051
     0.809524      0.133722
     0.825397      0.168771
      0.84127      0.208051
     0.857143      0.252547
     0.873016      0.303335
     0.888889      0.361514
     0.904762      0.429096
     0.920635      0.505866
     0.936508      0.591914
     0.952381      0.686564
     0.968254      0.788159
     0.984127      0.893929
            1             1
